            configname    selected        comp_n(Na)    formation_energy    hull_dist(ALL,comp)
    SCEL2_1_2_1_0_0_0/137         0        3.00000000         -0.47749036             0.00876195
    SCEL2_1_2_1_0_0_0/138         0        3.00000000         -0.12994007             0.35631224
    SCEL2_1_2_1_0_0_0/139         0        3.00000000         -0.03748569             0.44876662
    SCEL2_1_2_1_0_0_0/14          0        2.00000000         0.38533516              0.39147687
    SCEL2_1_2_1_0_0_0/140         0        3.00000000         -0.26834912             0.21790318
    SCEL2_1_2_1_0_0_0/141         0        3.00000000         -0.09675830             0.38949401
    SCEL2_1_2_1_0_0_0/142         0        3.00000000         -0.10973671             0.37651560
    SCEL2_1_2_1_0_0_0/143         0        3.00000000         -0.07322541             0.41302690
    SCEL2_1_2_1_0_0_0/144         0        3.00000000         -0.09869109             0.38756121
    SCEL2_1_2_1_0_0_0/145         0        3.00000000         -0.04240619             0.44384612
    SCEL2_1_2_1_0_0_0/146         0        3.00000000         -0.38789940             0.09835290
    SCEL2_1_2_1_0_0_0/147         0        3.00000000         0.03672614              0.52297845
    SCEL2_1_2_1_0_0_0/148         0        3.00000000         -0.01201787             0.47423444
    SCEL2_1_2_1_0_0_0/149         0        3.00000000         -0.14635048             0.33990182
    SCEL2_1_2_1_0_0_0/15          0        2.00000000         0.77345782              0.77959952
    SCEL2_1_2_1_0_0_0/150         0        3.00000000         -0.03595168             0.45030062
    SCEL2_1_2_1_0_0_0/151         0        3.00000000         -0.38954103             0.09671128
    SCEL2_1_2_1_0_0_0/152         0        3.50000000         -0.57813201             0.14817559
    SCEL2_1_2_1_0_0_0/153         0        3.50000000         -0.55932188             0.16698573
    SCEL2_1_2_1_0_0_0/154         0        3.50000000         -0.60224996             0.12405764
    SCEL2_1_2_1_0_0_0/155         0        3.50000000         -0.60868430             0.11762330
    SCEL2_1_2_1_0_0_0/156         0        3.50000000         -0.57323782             0.15306979
    SCEL2_1_2_1_0_0_0/157         0        3.50000000         -0.60863620             0.11767141
    SCEL2_1_2_1_0_0_0/158         0        3.50000000         -0.59616378             0.13014383
    SCEL2_1_2_1_0_0_0/159         0        3.50000000         -0.57701860             0.14928901
    SCEL2_1_2_1_0_0_0/16          0        2.00000000         0.83674802              0.84288972
    SCEL2_1_2_1_0_0_0/160         0        3.50000000         -0.59999910             0.12630850
    SCEL2_1_2_1_0_0_0/161         0        3.50000000         -0.64228287             0.08402474
    SCEL2_1_2_1_0_0_0/162         0        3.50000000         -0.57548507             0.15082254
    SCEL2_1_2_1_0_0_0/163         0        3.50000000         -0.56728780             0.15901981
    SCEL2_1_2_1_0_0_0/164         0        3.50000000         -0.60410850             0.12219910
    SCEL2_1_2_1_0_0_0/165         0        3.50000000         -0.51240035             0.21390726
    SCEL2_1_2_1_0_0_0/166         0        3.50000000         -0.64550037             0.08080724
    SCEL2_1_2_1_0_0_0/167         0        3.50000000         -0.54192038             0.18438723
    SCEL2_1_2_1_0_0_0/168         0        3.50000000         -0.57638660             0.14992101
    SCEL2_1_2_1_0_0_0/169         0        3.50000000         -0.58247618             0.14383143
    SCEL2_1_2_1_0_0_0/17          0        2.00000000         0.81512196              0.82126366
    SCEL2_1_2_1_0_0_0/170         0        3.50000000         -0.56209369             0.16421392
    SCEL2_1_2_1_0_0_0/171         0        3.50000000         -0.64148828             0.08481933
    SCEL2_1_2_1_0_0_0/172         0        3.50000000         -0.61514566             0.11116195
    SCEL2_1_2_1_0_0_0/173         0        3.50000000         -0.59048381             0.13582380
    SCEL2_1_2_1_0_0_0/174         0        3.50000000         -0.34544990             0.38085771
    SCEL2_1_2_1_0_0_0/175         0        3.50000000         -0.60628833             0.12001928
    SCEL2_1_2_1_0_0_0/176         0        3.50000000         -0.55755321             0.16875440
    SCEL2_1_2_1_0_0_0/177         0        3.50000000         -0.35248518             0.37382243
    SCEL2_1_2_1_0_0_0/178         0        3.50000000         -0.41313509             0.31317252
    SCEL2_1_2_1_0_0_0/179         0        3.50000000         -0.46048071             0.26582690
    SCEL2_1_2_1_0_0_0/18          0        2.00000000         0.85770201              0.86384371
    SCEL2_1_2_1_0_0_0/180         0        3.50000000         -0.53879988             0.18750772
    SCEL2_1_2_1_0_0_0/181         0        3.50000000         -0.39143707             0.33487053
    SCEL2_1_2_1_0_0_0/182         0        3.50000000         -0.37901225             0.34729536
    SCEL2_1_2_1_0_0_0/183         0        3.50000000         -0.44091666             0.28539095
    SCEL2_1_2_1_0_0_0/184         0        3.50000000         -0.62775395             0.09855365
    SCEL2_1_2_1_0_0_0/185         0        3.50000000         -0.49365179             0.23265581
    SCEL2_1_2_1_0_0_0/186         0        3.50000000         -0.45856265             0.26774496
    SCEL2_1_2_1_0_0_0/187         0        3.50000000         -0.50037354             0.22593406
    SCEL2_1_2_1_0_0_0/188         0        3.50000000         -0.43225207             0.29405554
    SCEL2_1_2_1_0_0_0/189         0        3.50000000         -0.59290756             0.13340005
    SCEL2_1_2_1_0_0_0/19          0        2.00000000         0.81005780              0.81619950
    SCEL2_1_2_1_0_0_0/190         0        3.50000000         -0.34566325             0.38064436
    SCEL2_1_2_1_0_0_0/191         0        3.50000000         -0.39377218             0.33253543
    SCEL2_1_2_1_0_0_0/192         0        3.50000000         -0.36855120             0.35775641
    SCEL2_1_2_1_0_0_0/193         0        3.50000000         -0.42714265             0.29916496
    SCEL2_1_2_1_0_0_0/194         0        3.50000000         -0.42882248             0.29748513
    SCEL2_1_2_1_0_0_0/195         0        3.50000000         -0.37991622             0.34639139
    SCEL2_1_2_1_0_0_0/196         0        3.50000000         -0.31624892             0.41005869
    SCEL2_1_2_1_0_0_0/197         0        3.50000000         -0.43601264             0.29029497
    SCEL2_1_2_1_0_0_0/198         0        3.50000000         -0.39362795             0.33267966
    SCEL2_1_2_1_0_0_0/199         0        3.50000000         -0.49022441             0.23608319
    SCEL2_1_2_1_0_0_0/2           0        2.00000000         0.74061200              0.74675370
    SCEL2_1_2_1_0_0_0/20          0        2.00000000         0.77799422              0.78413592
    SCEL2_1_2_1_0_0_0/200         0        3.50000000         -0.46650848             0.25979913
    SCEL2_1_2_1_0_0_0/201         0        4.00000000         -0.96636291             0.00000000
    SCEL2_1_2_1_0_0_0/202         0        4.00000000         -0.83063551             0.13572740
    SCEL2_1_2_1_0_0_0/203         0        4.00000000         -0.81314040             0.15322251
    SCEL2_1_2_1_0_0_0/204         0        4.00000000         -0.80883346             0.15752945
    SCEL2_1_2_1_0_0_0/205         0        4.00000000         -0.81053910             0.15582381
    SCEL2_1_2_1_0_0_0/206         0        4.00000000         -0.68412118             0.28224173
    SCEL2_1_2_1_0_0_0/207         0        4.00000000         -0.75298398             0.21337893
    SCEL2_1_2_1_0_0_0/208         0        4.00000000         -0.76347800             0.20288491
    SCEL2_1_2_1_0_0_0/209         0        4.00000000         -0.85552787             0.11083503
    SCEL2_1_2_1_0_0_0/21          0        2.00000000         0.79945185              0.80559355
    SCEL2_1_2_1_0_0_0/210         0        4.00000000         -0.72026121             0.24610170
    SCEL2_1_2_1_0_0_0/211         0        4.00000000         -0.86929581             0.09706709
    SCEL2_1_2_1_0_0_0/212         0        4.00000000         -0.82272224             0.14364067
    SCEL2_1_2_1_0_0_0/213         0        4.00000000         -0.78151324             0.18484967
    SCEL2_1_2_1_0_0_0/214         0        4.00000000         -0.76729542             0.19906749
    SCEL2_1_2_1_0_0_0/215         0        4.00000000         -0.86627272             0.10009018
    SCEL2_1_2_1_0_0_0/216         0        4.00000000         -0.85083234             0.11553057
    SCEL2_1_2_1_0_0_0/217         0        4.00000000         -0.78375128             0.18261163
    SCEL2_1_2_1_0_0_0/218         0        4.00000000         -0.86456136             0.10180155
    SCEL2_1_2_1_0_0_0/219         0        4.00000000         -0.83272524             0.13363766
    SCEL2_1_2_1_0_0_0/22          0        2.00000000         0.70132026              0.70746196
    SCEL2_1_2_1_0_0_0/220         0        4.00000000         -0.80406336             0.16229954
    SCEL2_1_2_1_0_0_0/221         0        4.00000000         -0.74673566             0.21962725
    SCEL2_1_2_1_0_0_0/222         0        4.00000000         -0.83884251             0.12752039
    SCEL2_1_2_1_0_0_0/223         0        4.00000000         -0.84349275             0.12287016
    SCEL2_1_2_1_0_0_0/224         0        4.00000000         -0.85672303             0.10963988
    SCEL2_1_2_1_0_0_0/225         0        4.00000000         -0.84865015             0.11771276
    SCEL2_1_2_1_0_0_0/226         0        4.00000000         -0.76309545             0.20326746
    SCEL2_1_2_1_0_0_0/227         0        4.00000000         -0.81387087             0.15249204
    SCEL2_1_2_1_0_0_0/228         0        4.00000000         -0.79973833             0.16662458
    SCEL2_1_2_1_0_0_0/229         0        4.00000000         -0.80256884             0.16379406
    SCEL2_1_2_1_0_0_0/23          0        2.00000000         0.77241855              0.77856025
    SCEL2_1_2_1_0_0_0/230         0        4.00000000         -0.81099091             0.15537200
    SCEL2_1_2_1_0_0_0/231         0        4.00000000         -0.69011799             0.27624492
    SCEL2_1_2_1_0_0_0/232         0        4.00000000         -0.84660278             0.11976012
    SCEL2_1_2_1_0_0_0/233         0        4.00000000         -0.85187189             0.11449101
    SCEL2_1_2_1_0_0_0/234         0        4.00000000         -0.85500408             0.11135883
    SCEL2_1_2_1_0_0_0/235         0        4.00000000         -0.86998143             0.09638147
    SCEL2_1_2_1_0_0_0/236         0        4.00000000         -0.85950306             0.10685984
    SCEL2_1_2_1_0_0_0/237         0        4.00000000         -0.81670260             0.14966030
    SCEL2_1_2_1_0_0_0/238         0        4.00000000         -0.64479028             0.32157262
    SCEL2_1_2_1_0_0_0/239         0        4.00000000         -0.81915222             0.14721069
    SCEL2_1_2_1_0_0_0/24          0        2.00000000         0.82829446              0.83443616
